Epoch,Iteration,EMFL,FLSH,FLSD,SDPM,FLLF,LFMAX,SLAVR,SIZLF,gpUtility,acqOptimum,inBounds,Elapsed,Score,errorMessage
0,1,49.6757685439661,3.07455119900405,12.3375316363527,16.7422805156093,12.0905421528732,0.618163658897393,330.203372377437,135.689114427031,,FALSE,TRUE,0.933,-14.9470715493611,
0,2,22.1823095157743,8.32872999664396,5.37205615721177,21.7122113512596,18.0159373884089,0.736028025839478,321.692753926036,132.307560783904,,FALSE,TRUE,0.888,-16.2413829230109,
0,3,44.9086619606242,4.99035944491625,19.2758672188502,23.9922681980534,22.7591358550126,0.86360990007408,319.973619807279,160.810540598002,,FALSE,TRUE,0.761,-14.9527007180972,
0,4,25.0999119849876,8.57682301104069,12.6536684560124,19.5017598109553,8.07857109233737,0.93586377596017,305.948407209944,131.21157899648,,FALSE,TRUE,0.708,-10.4445312982988,
0,5,29.4153836015612,6.34625981263816,16.2910729914438,25.9333771921229,13.290340580279,0.80042767802719,297.629619109212,141.718546725973,,FALSE,TRUE,0.824,-7.54901936536994,
0,6,42.8820822872221,2.58053517192602,17.6858976604417,29.3428382999264,5.26928344450425,1.10688842549454,284.082594791544,147.166662002425,,FALSE,TRUE,0.818,-12.8335219886457,
0,7,37.6522490093485,5.53062794227153,7.82060610118788,33.2624911761377,21.8596247234382,0.689512151540257,260.053170297178,155.493691470893,,FALSE,TRUE,0.967,-8.38430616466679,
0,8,51.5650343671441,4.22722377758473,15.4507385806646,32.2971946629696,29.8291806015186,1.04342523353174,269.024507626309,145.349608699558,,FALSE,TRUE,1.014,-20.4215368570005,
0,9,17.1102811861783,9.7717217663303,9.1639552564593,35.8984842384234,15.4710191133199,1.17261483114213,295.359538700432,152.867253438546,,FALSE,TRUE,0.939,-15.9721628843857,
0,10,34.6224054098129,7.05557792708278,10.3907691215863,38.4938576054992,26.1100794770755,1.00000195231754,282.462885453133,162.131554105156,,FALSE,TRUE,0.967,-8.29243536055489,
1,11,33.0342725663842,4.42851554206608,19.0215399193922,29.725730875881,6.38789325943761,1.0024053724475,297.881611159159,143.622726592337,0.485834455359806,TRUE,TRUE,0.727999999999994,-8.19106820744377,
2,12,27.5485061614803,8.82092504610618,9.64480403235954,15,30,0.6,298.531685114647,128,0.465181873881935,TRUE,TRUE,0.614999999999995,-11.0317048776218,
