Epoch,Iteration,EMFL,FLSH,FLSD,SDPM,FLLF,gpUtility,acqOptimum,inBounds,Elapsed,Score,errorMessage
0,1,41.5815194533207,4.88054953524843,19.7480144064757,34.220384270302,26.6298254713183,,FALSE,TRUE,3.022,-16.9659458128666,
0,2,32.8540856661275,2.73124868832529,9.48083301313454,26.0244274558499,8.06662675837288,,FALSE,TRUE,2.894,-7.7111602394142,
0,3,48.1779533191584,7.77261384716258,6.22118561028037,18.3338109278702,25.516651365906,,FALSE,TRUE,2.855,-15.2385987820487,
0,4,44.8257992938161,6.69906645854935,14.2158814110444,31.3741645641858,20.4864407511195,,FALSE,TRUE,2.646,-17.5629148400867,
0,5,40.1767433253117,5.71604180270806,8.00080432830146,23.1003931444138,16.6892363931402,,FALSE,TRUE,2.508,-8.88970409579459,
0,6,35.4282642737962,9.18433405198157,16.2683176756836,16.7546444389154,12.0558422297472,,FALSE,TRUE,2.484,-7.39072573392514,
0,7,28.7325180089101,6.1408799435012,18.8616295360844,37.2109431715217,24.6574599319138,,FALSE,TRUE,2.646,-10.8585230719308,
0,8,51.5662727165036,5.23615034986287,13.2377025588648,39.638978918083,29.9263486507698,,FALSE,TRUE,2.676,-25.5525029988605,
0,9,50.3314310526475,4.20461675319821,18.3444523986545,38.7090665684082,15.3653122670949,,FALSE,TRUE,2.712,-26.2428440583652,
0,10,23.7835507569835,9.76848294790834,11.8570939217461,15.7741130594513,23.1454257364385,,FALSE,TRUE,2.409,-14.5225825244049,
0,11,53.0680203917436,3.27073818380013,15.0194981795503,31.201717510412,22.374286611448,,FALSE,TRUE,2.754,-26.0727641875564,
0,12,45.8431280814111,8.2588909634389,7.4959462316474,29.3137372829369,5.74616064201109,,FALSE,TRUE,2.706,-15.5008112740758,
0,13,30.3720317292027,6.82992270933464,17.7439384264289,35.6459079656634,14.7160751052434,,FALSE,TRUE,2.589,-9.85183786359953,
0,14,38.7335092774592,2.96869140118361,13.5318725548568,24.367244146124,27.9262837106944,,FALSE,TRUE,2.685,-9.08213793987163,
0,15,17.3570292368531,2.38036018367857,9.58710231556324,33.5395355787477,17.6948161088512,,FALSE,TRUE,2.59,-20.7158214057056,
0,16,25.2994179842062,3.76933794347569,15.6440327748423,28.5997653580853,19.4290549246944,,FALSE,TRUE,2.657,-11.4654337724151,
0,17,16.5449245502241,4.49659295082092,11.5999588906416,21.6535284358542,13.7364924338181,,FALSE,TRUE,2.374,-23.172613897143,
0,18,34.6561451242305,8.47126438496634,6.72483937221114,19.8239668880706,6.91053236892913,,FALSE,TRUE,2.451,-7.91046809030323,
0,19,20.2745195766911,9.47294471506029,10.2723042707075,20.7484583003679,10.5705731167109,,FALSE,TRUE,2.034,-18.2716290825491,
0,20,21.9959500664845,7.29344655852765,5.24331917188829,26.9279840981471,9.43173962819856,,FALSE,TRUE,1.926,-17.9852344409412,
1,21,34.5466285936362,2,5,15,30,0.273911424862725,TRUE,TRUE,2.363,-9.89231688576691,
1,22,33.2846737364363,2,5,15.2527034672373,30,0.265990308523441,FALSE,TRUE,2.327,-10.7364245750807,
1,23,34.2221754306808,2,5,15.0173138521398,30,0.273370508161012,FALSE,TRUE,2.388,-10.1355487567453,
2,24,37.5667525356945,2,14.0436034150709,15,5,0.271784886359942,TRUE,TRUE,2.565,-6.87177851314389,
2,25,37.4048576592808,2,13.6709675622545,16.0362580056991,5,0.26382875650297,FALSE,TRUE,2.591,-6.74207203235379,
2,26,37.9479601204732,2.29779082785879,14.2224652619118,15,5.37372306811185,0.265060165355249,FALSE,TRUE,2.551,-7.08296231784478,
3,27,30.8711203225037,3.54536360344318,20,15,5,0.143032992905118,TRUE,TRUE,2.30600000000001,-7.10402361390523,
3,28,32.2710358151546,3.30057049936885,19.2902916798424,16.8522653106062,6.46677326437631,0.127293367294344,FALSE,TRUE,2.205,-7.14299170744336,
3,29,32.8084341000533,4.16823096857102,19.6265797503286,17.625300404151,5,0.125903820296774,FALSE,TRUE,2.304,-7.26144833832066,
4,30,38.1423861815396,10,8.49679116808184,15,30,0.107260547548729,TRUE,TRUE,2.72999999999999,-8.51519218827843,
4,31,35.6572166134831,9.7496786008307,6.84691021329864,15,30,0.0586406869688454,FALSE,TRUE,2.73399999999999,-9.12902880945066,
4,32,42.195697304483,9.93098788819336,8.71887051330141,15,30,0.023339010298618,FALSE,TRUE,2.786,-10.564868713428,
5,33,38.1303502208756,2,5,15,5,0.0926657923090362,TRUE,TRUE,2.53399999999999,-8.31130889839054,
5,34,36.4709051129027,2,5.3935881787746,16.7412215116982,5,0.0755148325614508,FALSE,TRUE,2.55800000000001,-8.20823077728686,
5,35,37.6328328789313,2.68997068129551,5,15.2204990028792,5,0.0864009111185049,FALSE,TRUE,2.54899999999999,-8.5356061416157,
